recipe_name	ingredients	quantity	unit	url
Gâteau au yaourt	Levure chimique	3	g	https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx
Gâteau au yaourt	Huile de colza	50	cl	https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx
Gâteau au yaourt	Sucre semoule	100	g	https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx
Gâteau au yaourt	Farine	150	g	https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx
Gâteau au yaourt	Citron	5	g	https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx
Gâteau au yaourt	Yaourt nature	100	g	https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx
Gâteau au yaourt	Oeuf	160	g	https://www.marmiton.org/recettes/recette_gateau-au-yaourt_12719.aspx
Gâteau au chocolat fondant rapide	Farine	50	g	https://www.marmiton.org/recettes/recette_gateau-au-chocolat-fondant-rapide_166352.aspx
Gâteau au chocolat fondant rapide	Sucre en poudre	100	g	https://www.marmiton.org/recettes/recette_gateau-au-chocolat-fondant-rapide_166352.aspx
Gâteau au chocolat fondant rapide	Beurre	100	g	https://www.marmiton.org/recettes/recette_gateau-au-chocolat-fondant-rapide_166352.aspx
Gâteau au chocolat fondant rapide	Oeuf	240	g	https://www.marmiton.org/recettes/recette_gateau-au-chocolat-fondant-rapide_166352.aspx
Tiramisu (recette originale)	Sucre vanillé	3	g	https://www.marmiton.org/recettes/recette_tiramisu-recette-originale_12023.aspx
Tiramisu (recette originale)	Biscuit à la cuillère	150	g	https://www.marmiton.org/recettes/recette_tiramisu-recette-originale_12023.aspx
Tiramisu (recette originale)	Oeuf	160	g	https://www.marmiton.org/recettes/recette_tiramisu-recette-originale_12023.aspx
Tiramisu (recette originale)	Mascarpone	250	g	https://www.marmiton.org/recettes/recette_tiramisu-recette-originale_12023.aspx
Tiramisu (recette originale)	Café	50	cl	https://www.marmiton.org/recettes/recette_tiramisu-recette-originale_12023.aspx
Tiramisu (recette originale)	Cacao amer	30	g	https://www.marmiton.org/recettes/recette_tiramisu-recette-originale_12023.aspx
Cookies maison	Vanille	1	g	https://www.marmiton.org/recettes/recette_cookies-maison_86989.aspx
Cookies maison	Farine	150	g	https://www.marmiton.org/recettes/recette_cookies-maison_86989.aspx
Cookies maison	Chocolat noir	100	g	https://www.marmiton.org/recettes/recette_cookies-maison_86989.aspx
Cookies maison	Sel	1	g	https://www.marmiton.org/recettes/recette_cookies-maison_86989.aspx
Cookies maison	Levure chimique	5	g	https://www.marmiton.org/recettes/recette_cookies-maison_86989.aspx
Cookies maison	Beurre tendre	85	g	https://www.marmiton.org/recettes/recette_cookies-maison_86989.aspx
Cookies maison	Oeuf	80	g	https://www.marmiton.org/recettes/recette_cookies-maison_86989.aspx
Fondant au chocolat	Sucre semoule	100	g	https://www.marmiton.org/recettes/recette_fondant-au-chocolat_15025.aspx
Fondant au chocolat	Farine	60	g	https://www.marmiton.org/recettes/recette_fondant-au-chocolat_15025.aspx
Fondant au chocolat	Beurre doux	100	g	https://www.marmiton.org/recettes/recette_fondant-au-chocolat_15025.aspx
Fondant au chocolat	Oeuf	400	g	https://www.marmiton.org/recettes/recette_fondant-au-chocolat_15025.aspx
